areaname,devname,year,value
Latin America and the Caribbean,Developing regions,1984,13678
Latin America and the Caribbean,Developing regions,1985,15171
Latin America and the Caribbean,Developing regions,1986,21179
Latin America and the Caribbean,Developing regions,1987,28471
Latin America and the Caribbean,Developing regions,1988,21924
Latin America and the Caribbean,Developing regions,1989,25060
Latin America and the Caribbean,Developing regions,1990,27942
Latin America and the Caribbean,Developing regions,1991,36827
Latin America and the Caribbean,Developing regions,1992,37853
Latin America and the Caribbean,Developing regions,1993,33840
Latin America and the Caribbean,Developing regions,1994,21341
Latin America and the Caribbean,Developing regions,1995,20262
Latin America and the Caribbean,Developing regions,1996,18645
Latin America and the Caribbean,Developing regions,1997,17174
Latin America and the Caribbean,Developing regions,1998,13830
Latin America and the Caribbean,Developing regions,1999,15088
Latin America and the Caribbean,Developing regions,2000,16898
Latin America and the Caribbean,Developing regions,2001,20067
Latin America and the Caribbean,Developing regions,2002,19317
Latin America and the Caribbean,Developing regions,2003,20263
Latin America and the Caribbean,Developing regions,2004,22181
Latin America and the Caribbean,Developing regions,2005,24747
Latin America and the Caribbean,Developing regions,2006,24676
Latin America and the Caribbean,Developing regions,2007,26011
Latin America and the Caribbean,Developing regions,2008,26547
Latin America and the Caribbean,Developing regions,2009,26867
Latin America and the Caribbean,Developing regions,2010,28818
Latin America and the Caribbean,Developing regions,2011,27856
Latin America and the Caribbean,Developing regions,2012,27173
Latin America and the Caribbean,Developing regions,2013,24950
Northern America,Developed regions,1980,9378
Northern America,Developed regions,1981,10030
Northern America,Developed regions,1982,9074
Northern America,Developed regions,1983,7100
Northern America,Developed regions,1984,6661
Northern America,Developed regions,1985,6543
Northern America,Developed regions,1986,7074
Northern America,Developed regions,1987,7705
Northern America,Developed regions,1988,6469
Northern America,Developed regions,1989,6790
Northern America,Developed regions,1990,5892
Northern America,Developed regions,1991,6054
Northern America,Developed regions,1992,6842
Northern America,Developed regions,1993,7435
Northern America,Developed regions,1994,5901
Northern America,Developed regions,1995,4890
Northern America,Developed regions,1996,5515
Northern America,Developed regions,1997,4753
Northern America,Developed regions,1998,4437
Northern America,Developed regions,1999,5196
Northern America,Developed regions,2000,5433
Northern America,Developed regions,2001,5604
Northern America,Developed regions,2002,4948
Northern America,Developed regions,2003,5543
Northern America,Developed regions,2004,6990
Northern America,Developed regions,2005,8394
Northern America,Developed regions,2006,9613
Northern America,Developed regions,2007,9463
Northern America,Developed regions,2008,10190
Northern America,Developed regions,2009,8995
Northern America,Developed regions,2010,8142
Northern America,Developed regions,2011,7676
Northern America,Developed regions,2012,7891
Northern America,Developed regions,2013,8501
Oceania,Developed regions,1980,1304
Oceania,Developed regions,1981,1119
Oceania,Developed regions,1982,848
Oceania,Developed regions,1983,457
Oceania,Developed regions,1984,481
Oceania,Developed regions,1985,467
Oceania,Developed regions,1986,532
Oceania,Developed regions,1987,675
Oceania,Developed regions,1988,610
Oceania,Developed regions,1989,790
Oceania,Developed regions,1990,890
Oceania,Developed regions,1991,867
Oceania,Developed regions,1992,1075
Oceania,Developed regions,1993,1238
Oceania,Developed regions,1994,936
Oceania,Developed regions,1995,878
Oceania,Developed regions,1996,918
Oceania,Developed regions,1997,804
Oceania,Developed regions,1998,625
Oceania,Developed regions,1999,687
Oceania,Developed regions,2000,811
Oceania,Developed regions,2001,1159
Oceania,Developed regions,2002,1068
Oceania,Developed regions,2003,1221
Oceania,Developed regions,2004,1280
Oceania,Developed regions,2005,1279
Oceania,Developed regions,2006,1193
Oceania,Developed regions,2007,1383
Oceania,Developed regions,2008,1498
Oceania,Developed regions,2009,1538
Oceania,Developed regions,2010,1423
Oceania,Developed regions,2011,1226
Oceania,Developed regions,2012,1399
Oceania,Developed regions,2013,1536
Oceania,Developing regions,1980,638
Oceania,Developing regions,1981,720
Oceania,Developing regions,1982,827
Oceania,Developing regions,1983,561
Oceania,Developing regions,1984,397
Oceania,Developing regions,1985,453
Oceania,Developing regions,1986,372
Oceania,Developing regions,1987,525
Oceania,Developing regions,1988,571
Oceania,Developing regions,1989,749
Oceania,Developing regions,1990,1185
Oceania,Developing regions,1991,1628
Oceania,Developing regions,1992,1796
Oceania,Developing regions,1993,1328
Oceania,Developing regions,1994,1031
Oceania,Developing regions,1995,687
Oceania,Developing regions,1996,634
Oceania,Developing regions,1997,459
Oceania,Developing regions,1998,396
Oceania,Developing regions,1999,368
Oceania,Developing regions,2000,465
Oceania,Developing regions,2001,659
Oceania,Developing regions,2002,617
Oceania,Developing regions,2003,579
Oceania,Developing regions,2004,508
Oceania,Developing regions,2005,306
Oceania,Developing regions,2006,280
Oceania,Developing regions,2007,310
Oceania,Developing regions,2008,336
Oceania,Developing regions,2009,322
Oceania,Developing regions,2010,411
Oceania,Developing regions,2011,322
Oceania,Developing regions,2012,280
Oceania,Developing regions,2013,239
